time 	 LH 	 RH
001.532	83.8632	16.1368	
001.593	84.5094	15.4906	
001.656	84.7852	15.2148	
001.716	85.2436	14.7564	
001.780	85.3937	14.6063	
001.845	84.5438	15.4562	
001.908	80.6186	19.3814	
001.970	78.5188	21.4812	
002.029	78.3031	21.6969	
002.093	79.3874	20.6126	
002.157	80.4179	19.5821	
002.217	81.3968	18.6032	
002.281	82.3270	17.6730	
002.343	83.2106	16.7894	
002.407	84.0500	15.9500	
002.466	84.8467	15.1533	
002.532	85.6036	14.3964	
002.593	86.3230	13.6770	
002.657	87.0019	12.9981	
002.718	87.6507	12.3493	
002.782	88.2665	11.7335	
002.845	88.8524	11.1476	
002.909	89.4097	10.5903	
002.963	89.9392	10.0608	
003.033	90.4422	9.5578	
7702	 7702	 7702 
7701	 7701	 7701 
000.002	50.0000	50.0000	
000.023	50.0000	50.0000	
000.031	52.5000	47.5000	
000.088	54.8750	45.1250	
000.159	57.1312	42.8688	
000.220	59.2747	40.7253	
000.283	61.3109	38.6891	
000.347	63.2454	36.7546	
000.412	65.0831	34.9169	
000.471	66.8289	33.1711	
000.535	68.4875	31.5125	
000.595	70.0631	29.9369	
000.659	71.5599	28.4401	
000.719	72.9819	27.0181	
000.784	74.3328	25.6672	
000.846	75.6162	24.3838	
000.910	76.8354	23.1646	
000.970	77.9935	22.0065	
001.034	79.0935	20.9065	
001.094	80.0946	19.9054	
001.158	81.0724	18.9276	
001.218	81.9828	18.0172	
001.282	82.8791	17.1209	
001.346	83.7185	16.2815	
001.410	84.5319	15.4681	
001.472	85.2871	14.7129	
001.536	86.0052	13.9948	
001.594	86.6918	13.3082	
001.659	87.3557	12.6443	
001.719	87.9855	12.0145	
001.783	88.5801	11.4199	
001.847	89.1474	10.8526	
001.912	89.6868	10.3132	
001.971	90.1977	9.8023	
7702	 7702	 7702 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.057	50.0000	50.0000	
000.061	52.4960	47.5040	
000.132	54.8669	45.1331	
000.198	57.1206	42.8794	
000.252	59.2641	40.7359	
000.320	61.3004	38.6996	
000.386	63.2343	36.7657	
000.446	65.0669	34.9331	
000.508	66.8004	33.1996	
000.568	68.4321	31.5679	
000.632	69.6167	30.3833	
000.696	69.4323	30.5677	
000.761	70.6716	29.3284	
000.809	72.1189	27.8811	
000.872	73.4091	26.5909	
000.932	72.3292	27.6708	
000.996	73.3111	26.6889	
001.068	74.6386	25.3614	
001.120	75.5981	24.4019	
001.199	75.1404	24.8596	
