time 	 LH 	 RH
004.144	44.0244	55.9756	
004.197	43.9433	56.0567	
004.261	43.6266	56.3734	
004.321	43.5150	56.4850	
004.385	43.6427	56.3573	
004.449	43.0358	56.9642	
004.513	41.9991	58.0009	
004.573	42.1872	57.8128	
004.633	43.0587	56.9413	
004.697	43.1554	56.8446	
004.761	42.5589	57.4411	
004.821	42.6076	57.3924	
004.885	43.2667	56.7333	
004.949	44.0292	55.9708	
005.013	43.8555	56.1445	
005.073	42.9943	57.0057	
005.133	43.1736	56.8264	
005.197	43.5433	56.4566	
005.261	43.5026	56.4974	
005.321	42.5465	57.4535	
005.385	42.2611	57.7389	
005.449	42.4416	57.5584	
005.513	43.0280	56.9720	
005.573	42.1133	57.8867	
005.633	41.2347	58.7653	
005.697	40.9421	59.0579	
005.761	41.0110	58.9890	
005.821	41.3540	58.6460	
005.885	41.5654	58.4346	
005.949	41.4030	58.5970	
006.012	41.7575	58.2425	
006.072	43.0727	56.9273	
006.133	44.4149	55.5851	
006.197	44.6366	55.3634	
006.261	45.0699	54.9301	
006.321	46.3711	53.6289	
006.385	47.8462	52.1538	
006.449	48.1002	51.8998	
006.513	48.8557	51.1443	
006.572	50.3250	49.6750	
006.633	51.9377	48.0623	
006.697	52.4798	47.5202	
006.776	53.1885	46.8115	
006.834	54.1846	45.8154	
006.898	54.7374	45.2626	
006.962	54.9722	45.0278	
007.026	55.7660	44.2340	
7692	 7692	 7692 
7701	 7701	 7701 
000.002	50.0000	50.0000	
000.014	50.0000	50.0000	
000.031	49.9085	50.0915	
000.072	50.1198	49.8802	
000.150	49.2129	50.7871	
000.211	48.0464	51.9536	
000.255	47.9769	52.0231	
000.338	48.5212	51.4788	
000.398	48.0047	51.9953	
000.458	46.8062	53.1938	
000.523	46.7675	53.2325	
000.578	46.5352	53.4648	
000.635	45.7204	54.2796	
000.695	44.9408	55.0592	
000.770	45.7355	54.2645	
000.823	45.8244	54.1756	
000.898	46.2982	53.7018	
000.958	45.5969	54.4031	
001.018	44.7363	55.2637	
001.083	44.1145	55.8855	
001.135	44.3103	55.6897	
001.195	43.9221	56.0779	
